record_id1,record_id2,title1,title2,author1,author2,year1,year2,doi1,doi2,title_sim,author_sim,abstract_sim,doi_sim,journal_sim,conflict_type,decision
wos:WOS:001176466700001,europepmc:38391279,ADDITIONAL EFFECT OF NEUROMUSCULAR ELECTRICAL STIMULATION IN A CONSERVATIVE INTERVENTION ON MORPHOLOGY AND STRENGTH OF ABDUCTOR HALLUCIS MUSCLE AND CORRECTION OF HALLUX VALGUS DEFORMITY A RANDOMIZED CONTROLLED TRIAL,ADDITIONAL EFFECT OF NEUROMUSCULAR ELECTRICAL STIMULATION IN A CONSERVATIVE INTERVENTION ON MORPHOLOGY AND STRENGTH OF ABDUCTOR HALLUCIS MUSCLE AND CORRECTION OF HALLUX VALGUS DEFORMITY A RANDOMIZED CONTROLLED TRIAL,"MOULODI, NASRIN; SARRAFZADEH, JAVAD; AZADINIA, FATEMEH; SHAKOURIRAD, ALI; JALALI, MARYAM",MOULODI N; SARRAFZADEH J; AZADINIA F; SHAKOURIRAD A; JALALI M,2025,2025,10.1080/09593985.2024.2316309,10.1080/09593985.2024.2316309,1.0,0.8567,0.8423,1.0,1.0,,merge (default)
scopus:85186464689,europepmc:38391279,ADDITIONAL EFFECT OF NEUROMUSCULAR ELECTRICAL STIMULATION IN A CONSERVATIVE INTERVENTION ON MORPHOLOGY AND STRENGTH OF ABDUCTOR HALLUCIS MUSCLE AND CORRECTION OF HALLUX VALGUS DEFORMITY A RANDOMIZED CONTROLLED TRIAL,ADDITIONAL EFFECT OF NEUROMUSCULAR ELECTRICAL STIMULATION IN A CONSERVATIVE INTERVENTION ON MORPHOLOGY AND STRENGTH OF ABDUCTOR HALLUCIS MUSCLE AND CORRECTION OF HALLUX VALGUS DEFORMITY A RANDOMIZED CONTROLLED TRIAL,MOULODI N ; SARRAFZADEH J ; AZADINIA F ; SHAKOURIRAD A ; JALALI M,MOULODI N; SARRAFZADEH J; AZADINIA F; SHAKOURIRAD A; JALALI M,2025,2025,10.1080/09593985.2024.2316309,10.1080/09593985.2024.2316309,1.0,0.9123,0.8962,1.0,1.0,,merge (default)
wos:WOS:001037809600003,wos:WOS:001053758300359,DECREASED MACULAR CHORIOCAPILLARIS PERFUSION IN EYES WITH MACULAR RETICULAR PSEUDODRUSEN IMAGED WITH SWEPT SOURCE OCT ANGIOGRAPHY,DECREASED MACULAR CHORIOCAPILLARIS PERFUSION IN EYES WITH MACULAR RETICULAR PSEUDODRUSEN IMAGED WITH SWEPT SOURCE OCT ANGIOGRAPHY,"LI, JIANQING; LIU, ZIYU; LU, JIE; SHEN, MENGXI; CHENG, YUXUAN; SIDDIQUI, NADIA; ZHOU, HAO; ZHANG, QINQIN; LIU, JEREMY; HERRERA, GISSEL; HIYA, FARHAN E ; GREGORI, GIOVANNI; WANG, RUIKANG K ; ROSENFELD, PHILIP J","ROSENFELD, PHILIP J ; LI, JIANQING; LIU, ZIYU; LU, JIE; SHEN, MENGXI; CHENG, YUXUAN; SIDDIQUI, NADIA; ZHANG, QINQIN; LIU, JEREMY; HERRERA, GISSEL; HIYA, FARHAN E ; GREGORI, GIOVANNI; WANG, RUIKANG K",2023,2023,10.1167/IOVS.64.4.15,,1.0,0.8199,0.732,0.0,1.0,,merge (default)
wos:WOS:000435272002403,wos:WOS:000453090804326,ARE THERE TWO DIFFERENT FORMS OF FUNCTIONAL DYSTONIA A MULTIMODAL BRAIN STRUCTURAL IMAGING STUDY,ARE THERE TWO DIFFERENT FORMS OF FUNCTIONAL DYSTONIA A MULTIMODAL BRAIN STRUCTURAL IMAGING STUDY,"TOMIC, A ; AGOSTA, F ; SARASSO, E ; DRAGASEVIC, N ; SVETEL, M ; BASAIA, S ; FONTANA, A ; KOSTIC, V S ; FILIPPI, M","SARASSO, ELISABETTA; AGOSTA, FEDERICA; TOMIC, ALEXANDRA; DRAGASEVIC, NATASA; SVETEL, MARINA; BASAIA, SILVIA; FONTANA, ANDREA; KOSTIC, VLADIMIR; FILIPPI, MASSIMO",2018,2018,,,1.0,0.7061,1.0,0.0,0.5302,,merge (default)
scopus:85118934616,wos:WOS:000663065900184,FUNCTIONAL MRI CONNECTIVITY OF THE PRIMARY MOTOR CORTEX IN FUNCTIONAL DYSTONIA PATIENTS,FUNCTIONAL MRI CONNECTIVITY OF THE PRIMARY MOTOR CORTEX IN FUNCTIONAL DYSTONIA PATIENTS,PIRAMIDE N ; SARASSO E ; TOMIC A ; CANU E ; PETROVIC I N ; SVETEL M ; BASAIA S ; DRAGASEVIC MISKOVIC N ; KOSTIC V S ; FILIPPI M ; AGOSTA F,"SARASSO, E ; PIRAMIDE, N ; TOMIC, A ; CANU, E ; PETROVIC, I ; SVETEL, M ; BASAIA, S ; DRAGASEVIC, N ; KOSTIC, V ; AGOSTA, F",2022,2021,10.1007/S00415-021-10879-X,,1.0,0.8181,0.0,0.0,0.7632,,merge (default)
scopus:85118934616,wos:WOS:000729283603034,FUNCTIONAL MRI CONNECTIVITY OF THE PRIMARY MOTOR CORTEX IN FUNCTIONAL DYSTONIA PATIENTS,FUNCTIONAL MRI CONNECTIVITY OF THE PRIMARY MOTOR CORTEX IN FUNCTIONAL DYSTONIA PATIENTS,PIRAMIDE N ; SARASSO E ; TOMIC A ; CANU E ; PETROVIC I N ; SVETEL M ; BASAIA S ; DRAGASEVIC MISKOVIC N ; KOSTIC V S ; FILIPPI M ; AGOSTA F,"PIRAMIDE, NOEMI; SARASSO, ELISABETTA; TOMIC, ALEXANDRA; CANU, ELISA; PETROVIC, IGOR; SVETEL, MARINA; BASAIA, SILVIA; MISKOVIC, NATASA DRAGASEVIC; KOSTIC, VLADIMIR; FILIPPI, MASSIMO; AGOSTA, FEDERICA",2022,2021,10.1007/S00415-021-10879-X,,1.0,0.8242,0.0,0.0,0.6,,merge (default)
europepmc:PMC6897694,wos:WOS:000507409900528,PSIII 18 PROTEIN EFFICIENCY RATIOS OF VARIOUS DRIED CHICKEN EGG AND PEA PROTEINS USED IN DIETS FOR DOGS AND CATS,PROTEIN EFFICIENCY RATIOS OF VARIOUS DRIED CHICKEN EGG AND PEA PROTEINS USED IN DIETS FOR DOGS AND CATS,DAINTON A; ZURSCHMIEDE J; BEYER R,"DAINTON, AMANDA N ; ZURSCHMIEDE, JOSEPHINE M ; BEYER, R SCOTT",2019,2019,,,0.839,0.8415,1.0,0.0,1.0,,merge
psycinfo:2021-94597-144,wos:PQDT:64512186,SYMPTOM PRODUCTION COMPARING PROFILES OF MALINGERING FACTITIOUS DISORDER AND CONVERSION DISORDER,SYMPTOM PRODUCTION COMPARING PROFILES OF MALINGERING FACTITIOUS DISORDER AND CONVERSION DISORDER,"SCHRAM, CHRISTINE","SCHRAM, CHRISTINE",2022,2021,,,1.0,1.0,0.0,0.0,0.0,,merge (default)
psycinfo:2022-17227-001,wos:WOS:000729283603322,ANATOMICAL AND FUNCTIONAL VISUAL NETWORK PATTERNS IN PROGRESSIVE MULTIPLE SCLEROSIS,ANATOMICAL AND FUNCTIONAL VISUAL NETWORK PATTERNS IN PROGRESSIVE MULTIPLE SCLEROSIS,"BACKNER, YAEL; ZAMIR, SOL; PETROU, PANAYIOTA; PAUL, FRIEDEMANN; KARUSSIS, DIMITRIOS; LEVIN, NETTA","BACKNER, YAEL; ZAMIR, SOL; PETROU, PANAYIOTA; PAUL, FRIEDEMANN; KARUSSIS, DIMITRIOS; LEVIN, NETTA",2022,2021,10.1002/HBM.25744,,1.0,1.0,0.9305,0.0,0.386,,merge (default)
wos:WOS:000387704900018,wos:WOS:000387704900020,HYSTERIA AROUND THE WORLD,HYSTERIA TODAY AND TOMORROW,"CAROTA, ANTONIO; CALABRESE, PASQUALE","LAFRANCE, W CURT, JR",2014,2014,10.1159/000360062 10.1159/ISBN.978-3-318-02647-4,10.1159/000360064 10.1159/ISBN.978-3-318-02647-4,0.8781,0.6011,0.6989,0.9917,1.0,,keep both (distinct records)
