model_file,evaluated,tp,fp,tn,fn,sensitivity,specificity,precision,accuracy,f1,dropped_gold,missing_or_error,schema_warning_rows
llm_screening_results_groq_qwen3-32b.jsonl,20,10,1,8,1,0.9090909090909091,0.8888888888888888,0.9090909090909091,0.9,0.9090909090909091,0,0,0
llm_screening_results_gemini-3-flash-lite.jsonl,20,9,0,9,2,0.8181818181818182,1.0,1.0,0.9,0.9,0,0,0
llm_screening_results_lmstudio_qwen3.6-35b-a3b.jsonl,20,9,0,9,2,0.8181818181818182,1.0,1.0,0.9,0.9,0,0,9
llm_screening_results_openrouter_hy3-preview.jsonl,20,9,0,9,2,0.8181818181818182,1.0,1.0,0.9,0.9,0,0,0
llm_screening_results_gemma-31B.jsonl,20,9,1,8,2,0.8181818181818182,0.8888888888888888,0.9,0.85,0.8571428571428572,0,0,0
llm_screening_results_lmstudio.jsonl,20,9,2,7,2,0.8181818181818182,0.7777777777777778,0.8181818181818182,0.8,0.8181818181818182,0,0,1
llm_screening_results_gemini-3-flash.jsonl,17,7,1,7,2,0.7777777777777778,0.875,0.875,0.8235294117647058,0.823529411764706,0,3,1
